Date,Type,Link
2024-08-15 04:31:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7226906573955022849
2024-08-08 03:18:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3054767-7212589371701497856
2024-08-08 03:16:59,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7120726740083126272
2024-08-08 03:13:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7182229992020340736
2024-08-02 22:24:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7224888900916297730
2024-07-26 04:06:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7221999191017799680
2024-07-16 09:33:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7218728485341548544
2024-07-12 09:05:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7217242315520663552
2024-07-12 03:12:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7217211043557560323
2024-07-12 00:13:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7217253833846972416
2024-07-09 19:52:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A4314060-7216498721323159554
2024-07-09 09:05:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7216188972471922688
2024-06-30 12:27:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7211367585777401857
2024-06-25 22:25:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7211443459646271488
2024-06-25 22:22:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7211390882711801857
2024-06-25 22:13:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7211488380440694785
2024-06-25 07:59:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7211057776561664001
2024-06-25 07:56:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7211163702274740224?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7211163702274740224%2C7211274874508472322%29
2024-06-25 02:04:00,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7211163702274740224
2024-06-23 08:37:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7206396658991906816
2024-06-20 20:20:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7208665101539708928
2024-06-20 03:50:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7209279093714866176
2024-06-17 08:54:22,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7208310165698224128
