Company Name,Title,Description,Location,Started On,Finished On
ServiceNow,DevOps Engineer,,Australia,Jul 2024,
AusBiz Consulting,DevOps Engineer,"-High Scale applications, front end & back end development. -Building, debugging and testing code. -Using & modernizing Cloud Services -Collaborating with teams of business analysts, HR's and project managers in order to achieve fast and efficient delivery. -Working with deadlines in a fast-paced environment. -Implementing DevOps processes.","Sydney, New South Wales, Australia",Mar 2024,Jun 2024
