Challenge Date,IP Address,User Agent,Country,Challenge Type
Thu Jan 25 03:59:00 UTC 2024,27.32.113.223,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Australia,EMAIL_PIN_CHALLENGE
Thu Jan 25 04:01:15 UTC 2024,27.32.113.223,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Australia,EMAIL_PIN_CHALLENGE
Thu Jan 25 04:07:58 UTC 2024,27.32.113.223,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Australia,EMAIL_PIN_CHALLENGE
Wed Feb 14 23:15:35 UTC 2024,49.180.177.183,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Australia,EMAIL_PIN_CHALLENGE
Fri Mar 22 11:17:39 UTC 2024,49.180.199.137,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",Australia,EMAIL_PIN_CHALLENGE
