Name,Url,Authority,Started On,Finished On,License Number
CompTIA Cloud Essentials+ Certification,https://www.credly.com/badges/6fdde165-8235-4e0c-bd89-dbbea3ac3720/linked_in_profile,CompTIA,Aug 2023,,
Learning Terraform,https://www.linkedin.com/learning/certificates/92a5df8133eee095cfa7b828a5c11558bcce57b105e89ebb13784ea4ae21e464,LinkedIn,Feb 2024,,
Python 3 ,,Programming Hub,Feb 2024,,1708814263331
Node.js Essential Training,https://www.linkedin.com/learning/certificates/c3ef5b2530aa3e459ad66c7e4fe17cf27599d3295b873fb2b4be3c3e41de42f9,LinkedIn,Mar 2024,,
Learning Ansible,https://www.linkedin.com/learning/certificates/a2348b9e6390ef5eba4150150d51397b09a2ac96ba6ce146ed37e4465e740753,LinkedIn,Jun 2024,,a2348b9e6390ef5eba4150150d51397b09a2ac96ba6ce146ed37e4465e740753
