Login Date,IP Address,User Agent,Login Type
Fri Mar 22 11:18:29 UTC 2024,49.180.199.137,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.910.1 samsung_SM-F936B:android_14,Login
Fri Mar 22 11:18:31 UTC 2024,49.180.199.137,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.910.1 samsung_SM-F936B:android_14,Login
Sat Mar 23 07:33:14 UTC 2024,194.193.213.67,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",Login
Sun Apr 07 20:55:31 UTC 2024,49.186.39.109,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Safari/537.36",Login
Sun Apr 21 10:21:31 UTC 2024,110.174.139.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",Login
Tue Apr 23 20:41:37 UTC 2024,49.186.37.116,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Safari/537.36",Login
Tue Apr 23 20:41:38 UTC 2024,49.186.37.116,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Safari/537.36",Login
Tue Apr 30 07:34:11 UTC 2024,110.174.139.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Login
Mon May 06 06:50:32 UTC 2024,49.181.70.125,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Safari/537.36",Login
Mon May 06 06:50:33 UTC 2024,49.181.70.125,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Safari/537.36",Login
Wed May 08 06:54:51 UTC 2024,49.179.44.7,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Safari/537.36",Login
Wed May 08 17:31:20 UTC 2024,49.180.190.186,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Safari/537.36",Login
