Ad clicked Date,Ad Title/Id
2024/06/10 04:53:26 UTC,376811466
2025/03/04 07:25:06 UTC,627549976
2024/06/15 06:24:57 UTC,311999536
2025/03/12 21:08:45 UTC,427698984
2024/06/17 09:01:50 UTC,455604506
2025/03/12 21:08:51 UTC,427698984
2024/06/20 19:55:48 UTC,376801406
2025/03/19 06:55:20 UTC,634344806
2024/06/20 19:56:09 UTC,458226956
2025/03/22 09:04:04 UTC,643328416
2024/06/20 19:57:08 UTC,381991783
2025/03/22 09:06:38 UTC,611901946
2024/06/20 19:59:06 UTC,411231894
2025/07/31 08:54:34 UTC,749643786
2024/06/20 19:59:23 UTC,411231894
2025/08/09 05:34:55 UTC,814237276
2024/06/20 20:06:13 UTC,418113884
2025/08/10 11:43:08 UTC,715445776
2024/06/20 20:13:47 UTC,460897286
2025/08/20 07:03:08 UTC,768151113
2024/06/24 06:21:58 UTC,311999536
2024/03/09 03:00:29 UTC,383220796
2024/06/23 08:35:28 UTC,426867896
2024/03/13 10:05:46 UTC,318616036
2024/06/23 08:39:43 UTC,421092974
2024/03/11 08:37:21 UTC,307899936
2024/06/23 08:42:03 UTC,461330056
2024/03/17 02:14:09 UTC,354116493
2024/06/30 12:27:06 UTC,425032394
2024/03/12 08:12:26 UTC,362768484
2024/06/29 08:13:47 UTC,385043646
2024/03/12 08:13:02 UTC,364472113
2024/06/29 08:16:09 UTC,418113884
2024/03/20 08:07:45 UTC,227903376
2024/06/29 08:17:40 UTC,464795126
2024/03/10 06:49:09 UTC,145111864
2024/06/25 22:02:29 UTC,457138636
2024/03/27 18:37:33 UTC,368065114
2024/06/25 22:26:17 UTC,426867896
2024/03/27 05:43:23 UTC,387217996
2023/12/22 21:49:03 UTC,300143554
2024/04/08 20:07:46 UTC,384827426
2024/01/04 21:28:54 UTC,307191926
2024/04/08 20:11:06 UTC,352876266
2024/01/04 21:34:00 UTC,307899936
2024/04/05 06:16:14 UTC,374243386
2024/01/17 18:45:43 UTC,267476766
2024/04/05 06:16:20 UTC,376811466
2024/01/17 18:45:57 UTC,267476766
2024/04/05 06:16:23 UTC,227903376
2024/01/23 18:31:19 UTC,365908276
2024/04/14 00:09:31 UTC,145111864
2024/01/27 09:20:42 UTC,225922073
2024/04/13 13:29:46 UTC,392534386
2024/01/27 09:20:46 UTC,227903376
2024/04/14 19:51:24 UTC,368265613
2024/01/27 09:21:59 UTC,227903376
2024/04/16 06:34:05 UTC,376801406
2024/01/27 09:22:08 UTC,225922073
2024/04/13 07:19:08 UTC,392534386
2024/01/21 19:13:46 UTC,225108616
2024/04/18 00:58:41 UTC,110831503
2024/01/21 19:14:23 UTC,223634204
2024/04/21 20:19:00 UTC,409457236
2025/04/30 12:04:41 UTC,668816586
2024/04/21 20:19:04 UTC,409457236
2025/05/04 00:50:23 UTC,573234053
2024/04/21 20:19:19 UTC,409457236
2025/05/04 00:59:06 UTC,652324983
2024/04/21 20:20:03 UTC,394440214
2025/05/04 00:33:35 UTC,414990816
2024/04/20 23:59:25 UTC,388569673
2025/05/04 00:33:47 UTC,414990816
2023/10/02 04:35:50 UTC,227086944
2025/03/27 21:46:58 UTC,622716506
2024/07/23 10:52:36 UTC,371608963
2025/05/07 09:06:53 UTC,682945926
2024/01/30 18:49:23 UTC,354116493
2025/04/21 22:29:28 UTC,258750856
2024/07/31 11:29:26 UTC,312038286
2025/05/22 22:40:03 UTC,414990816
2024/01/30 19:00:18 UTC,223753784
2024/08/04 21:20:58 UTC,465511003
2025/05/22 22:40:05 UTC,414990816
2024/01/30 19:03:12 UTC,360918366
2024/08/04 21:21:01 UTC,465511003
2024/01/24 19:39:47 UTC,365908276
2024/08/14 00:35:57 UTC,459794743
2024/01/24 19:42:10 UTC,347411923
2024/08/14 00:35:58 UTC,459794743
2024/01/31 00:08:37 UTC,366515826
2024/08/19 20:32:02 UTC,487346186
2024/02/01 18:51:37 UTC,360824916
2024/08/19 20:27:31 UTC,460989896
2024/02/01 18:51:42 UTC,360824916
2024/08/24 20:45:21 UTC,484087373
2024/01/27 18:48:32 UTC,345626016
2024/09/01 22:57:28 UTC,371636623
2024/01/31 04:22:39 UTC,352502006
2024/09/05 07:58:37 UTC,385043646
2024/02/05 20:55:00 UTC,347411923
2024/08/31 08:23:04 UTC,485835483
2024/02/05 20:55:00 UTC,347411923
2024/09/07 23:53:03 UTC,145111864
2024/02/04 09:56:23 UTC,352876266
2024/09/05 19:56:16 UTC,381910613
2024/02/04 09:56:42 UTC,352876266
2024/09/05 19:58:27 UTC,489526396
2024/02/04 09:56:43 UTC,352876266
2024/09/09 20:55:55 UTC,313559626
2024/02/04 09:56:43 UTC,352876266
2024/09/08 01:08:29 UTC,232543356
2024/02/15 20:54:35 UTC,354126643
2024/09/08 01:09:09 UTC,487346196
2024/02/15 20:54:36 UTC,354126643
2024/09/08 01:09:12 UTC,487346196
2024/02/15 20:54:39 UTC,354126643
2024/09/08 01:12:34 UTC,492549653
2024/02/15 20:54:44 UTC,354126643
2024/09/09 11:42:15 UTC,145111864
2024/02/15 20:54:44 UTC,354126643
2024/09/09 11:42:59 UTC,145111864
2024/02/15 20:54:45 UTC,354126643
2024/09/12 09:33:42 UTC,145111864
2024/02/15 20:54:46 UTC,354126643
2024/09/11 21:02:00 UTC,374263726
2024/02/15 20:54:47 UTC,354126643
2024/09/21 06:19:14 UTC,512834786
2024/02/15 20:54:47 UTC,354126643
2024/12/25 21:46:33 UTC,564228026
2024/02/13 06:22:06 UTC,358753503
2025/01/06 21:51:26 UTC,145111864
2024/02/13 06:23:03 UTC,284786176
2025/01/09 11:00:59 UTC,560221306
2024/02/13 06:23:05 UTC,284786176
2025/01/14 12:53:42 UTC,560221306
2024/02/13 06:24:41 UTC,316458464
2025/01/15 20:27:51 UTC,549735434
2024/02/17 23:09:16 UTC,372430566
2025/01/17 01:33:49 UTC,607053996
2024/02/22 06:48:08 UTC,374263726
2025/01/17 01:34:03 UTC,239156346
